StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q21,Q25,Q27,Q29,Q31,Q33,Q35,Q37,Q39,Q41,Q43,covid_screen_1,covid_screen_2,covid_screen_3,covid_screen_4,covid_screen_5,covid_screen_6,covid_screen_7,covid_screen_8,covid_screen_9,covid_screen_10,covid_screen_11,covid_screen_12,covid_screen_13,covid_screen_14,covid_screen_15,covid_screen_16,eat,alcohol,meds,gender,age,Q15,Q16,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter participant number,Do you occasionally drink beer? (on average at least 1 a month).,Do you currently take any medication apart from birth control?,Are you diabetic?,Are you 18 years or older?,Are you pregnant or breastfeeding?,Do you suffer from an eating disorder?,Have you been diagnosed with alcohol use disorder?,Are you colour blind?,How many cigarettes do you smoke weekly?,Have you read and understood the information above and do you agree to participate in the study?,Do you have any of the following? - A fever or chills,Do you have any of the following? - headache,Do you have any of the following? - congestion,Do you have any of the following? - nausea or vomitting,Do you have any of the following? - conjunctivitis,Do you have any of the following? - sore throat,Do you have any of the following? - shortness of breath,Do you have any of the following? - dry cough,Do you have any of the following? - fatique,Do you have any of the following? - diarrhoea,Do you have any of the following? - loss of sense of smell/taste,Do you have any of the following? - Do you live with someone who is self-isolating?,Do you have any of the following? - aches and Pains (muscle fatigue / body aches),Do you have any of the following? - nasal discharge,Do you have any of the following? - skin rash / discoloration of finger/toes,Do you have any of the following? - Have you had contact with a contagious person in the last 2 weeks?,Did you eat or drink anything in past two hours?,Have you consumed any alcohol today?,Have you taken any medication today? (apart from contraceptive pill),What is your gender?,Please enter your age,"How many units of alcohol do you consume weekly? 
 

	A glass of wine contains 2.3 units (175ml glass, 13% ABV)
	A pint of beer contains 2.3 units (1 pint, 4% ABV)
	A pint of cider contains 2.6 units (1 pint, 4.5% ABV)
	A shot of spirits contains 1 unit (1 shot, 40% ABV)
	A glass of champagne contains 1.5 units (125ml glass, 12% ABV)",How many units of alcohol that you consume every week come from beer?,"Over the past 12 months, how often did you drink beer IN SUMMER?","Over the past 12 months, how often did you consume beer DURING THE REST OF THE YEAR?","Over the past 12 months, how often did you consume WINE or WINE COOLERS?(A wine cooler is a wine-based alcoholic drink often made from wine and fruit
juice or soda, it has lower alcohol content than mixed drinks)","Over the past 12 months, how often did you consume SPIRITS or MIXED DRINKS?",Have you EVER consumed NON-ALCOHOLIC BEER?,How did you like the taste of the non-alcoholic beer compared to regular beer? The NON-ALCOHOLIC BEER tasted:,How do you expect NON-ALCOHOLIC BEER to taste compared to a REGULAR BEER?,"Over the past 12 months, how often did you consume non-alcoholic beer IN SUMMER?","Over the past 12 months, how often did you consume non-alcoholic beer DURING THE REST OF THE YEAR?",Why have you or why would you drink NON-ALCOHOLIC BEER?,What did you like about NON-ALCOHOLIC BEER?,What didn't you like about NON-ALCOHOLIC BEER?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_10""}","{""ImportId"":""QID49_11""}","{""ImportId"":""QID49_12""}","{""ImportId"":""QID49_13""}","{""ImportId"":""QID49_14""}","{""ImportId"":""QID49_15""}","{""ImportId"":""QID49_16""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}"
1/28/2020 13:49,1/28/2020 14:05,IP Address,139.184.128.82,100,980,TRUE,1/28/2020 14:05,R_3Iei17skuiPLBwl,,,,,50.86120605,-0.119400024,anonymous,EN,5001,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,16.5,5,1-2 times per week,1-2 times per week,2-3 times per month,1-2 times per week,I don't remember,,better than a regular beer,,,For a nice taste without the alcohol side effects,,
1/28/2020 14:03,1/28/2020 14:20,IP Address,139.184.128.132,100,985,TRUE,1/28/2020 14:20,R_29cvHiSYlMjNz19,,,,,50.86120605,-0.119400024,anonymous,EN,5002,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,25,6.9,4.6,3-4 times per week,1-2 times per week,1-2 times per week,1 time per month or less,Yes,I don't remember,,NEVER,1 time per month or less,it was part of a study conducted here at the University of Sussex,it still tastes like beer,no alcohol so i do not feel a buzz
1/28/2020 14:35,1/28/2020 14:42,IP Address,139.184.128.82,100,421,TRUE,1/28/2020 14:42,R_2rZr5cpVWj9UEbq,,,,,50.86120605,-0.119400024,anonymous,EN,3003,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,8,4,1-2 times per week,1-2 times per week,2-3 times per month,1-2 times per week,No,,about the same,,,if i was the designated driver that night or perhaps was on medication that i couldn't drink alcohol on and was with friends who were all drinking,,
1/28/2020 14:48,1/28/2020 14:56,IP Address,139.184.128.132,100,461,TRUE,1/28/2020 14:56,R_1eKnCW5dDu8F9Ud,,,,,50.86120605,-0.119400024,anonymous,EN,1004,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,21,10,6,3-4 times per week,2-3 times per month,1-2 times per week,3-4 times per week,No,,about the same,,,healthier than alcoholic beer,,
1/29/2020 13:45,1/29/2020 14:06,IP Address,139.184.128.132,100,1248,TRUE,1/29/2020 14:06,R_2qxZv7HNMvpa3nR,,,,,50.86120605,-0.119400024,anonymous,EN,2005,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,non-binary,18,8,2.3,1-2 times per week,2-3 times per month,2-3 times per month,2-3 times per month,Yes,about the same,,NEVER,1 time per month or less,"I drank it because myself and a friend were craving the taste of beer but we drank the night before, so we didn't want to drink again
We had access to non-alcoholic beer from their parents so we drank it then

So i would drink it because im craving beer but dont want to drink alcohol","It went down easily and actually tasted decent
Satisfys the craving for alcohol without actually having to drink alcohol","...its not alcoholic XD

Although thats useful sometimes I wouldnt usually choose to drink it"
1/29/2020 14:01,1/29/2020 14:19,IP Address,139.184.128.82,100,1128,TRUE,1/29/2020 14:19,R_2wTz8buqZ7zWsEJ,,,,,50.86120605,-0.119400024,anonymous,EN,3006,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,15,2,2-3 times per month,1 time per month or less,1-2 times per week,1-2 times per week,No,,about the same,,,As an alcohol-free alternative when out.,,
1/29/2020 14:29,1/29/2020 14:38,IP Address,139.184.128.132,100,545,TRUE,1/29/2020 14:38,R_2U0eTyivJvgXJ7I,,,,,50.86120605,-0.119400024,anonymous,EN,1007,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,51,6.9,2.3,1-2 times per week,1-2 times per week,1-2 times per week,NEVER,Yes,about the same,,1 time per month or less,1 time per month or less,to reduce alcohol,it has no alcohol and this makes me feel better (healthier),"less choices of beer types (blonde,dark)"
1/31/2020 13:47,1/31/2020 14:06,IP Address,139.184.128.82,100,1094,TRUE,1/31/2020 14:06,R_1o7FI655R2aBLQR,,,,,50.86120605,-0.119400024,anonymous,EN,1008,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,5,2.3,3-4 times per week,2-3 times per month,1-2 times per week,1-2 times per week,Yes,worse than regular beer,,NEVER,NEVER,To still be social but not drink alcohol ,It wasn't as bitter as some alcoholic beers ,It wasn't very good 
