date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2,stimulusnumber3,stimulusitem3,stimulusonset3
12820,14:21:41,3,5001,5.0.14.0,1,1,consumption,VAS_liking_VAS,0,0,0,0,41,1,14604,1,How much do you like the beer?,0,1,not at all,0,1,extremely,0
12820,14:21:41,3,5001,5.0.14.0,1,2,consumption,VAS_body_VAS,0,0,0,0,41,1,9305,1,How FULL-BODIED is the beer?,0,1,not at all,0,1,extremely,0
12820,14:21:41,3,5001,5.0.14.0,1,3,consumption,VAS_refreshment_VAS,0,0,0,0,68,1,9324,1,How refreshing is the beer?,0,1,not at all,0,1,extremely,0
12820,14:21:41,3,5001,5.0.14.0,1,4,consumption,VAS_bitter_VAS,0,0,0,0,77,1,12336,1,How BITTER is the beer?,0,1,not at all,0,1,extremely,0
12820,14:36:26,4,5002,5.0.14.0,1,1,consumption,VAS_liking_VAS,0,0,0,0,32,1,35271,1,How much do you like the beer?,0,1,not at all,0,1,extremely,0
12820,14:36:26,4,5002,5.0.14.0,1,2,consumption,VAS_bitter_VAS,0,0,0,0,22,1,5550,1,How BITTER is the beer?,1,1,not at all,1,1,extremely,1
12820,14:36:26,4,5002,5.0.14.0,1,3,consumption,VAS_body_VAS,0,0,0,0,30,1,3777,1,How FULL-BODIED is the beer?,1,1,not at all,1,1,extremely,1
12820,14:36:26,4,5002,5.0.14.0,1,4,consumption,VAS_refreshment_VAS,0,0,0,0,26,1,2233,1,How refreshing is the beer?,1,1,not at all,1,1,extremely,1
12820,14:59:16,5,3003,5.0.14.0,1,1,consumption,VAS_body_VAS,0,0,0,0,42,1,3953,1,How FULL-BODIED is the beer?,0,1,not at all,0,1,extremely,0
12820,14:59:16,5,3003,5.0.14.0,1,2,consumption,VAS_liking_VAS,0,0,0,0,88,1,2552,1,How much do you like the beer?,0,1,not at all,0,1,extremely,0
12820,14:59:16,5,3003,5.0.14.0,1,3,consumption,VAS_refreshment_VAS,0,0,0,0,88,1,2406,1,How refreshing is the beer?,0,1,not at all,0,1,extremely,0
12820,14:59:16,5,3003,5.0.14.0,1,4,consumption,VAS_bitter_VAS,0,0,0,0,13,1,4079,1,How BITTER is the beer?,0,1,not at all,0,1,extremely,0
12820,15:18:17,6,1004,5.0.14.0,1,1,consumption,VAS_body_VAS,0,0,0,0,58,1,6178,1,How FULL-BODIED is the beer?,0,1,not at all,0,1,extremely,0
12820,15:18:17,6,1004,5.0.14.0,1,2,consumption,VAS_liking_VAS,0,0,0,0,62,1,3868,1,How much do you like the beer?,1,1,not at all,1,1,extremely,1
12820,15:18:17,6,1004,5.0.14.0,1,3,consumption,VAS_bitter_VAS,0,0,0,0,21,1,2976,1,How BITTER is the beer?,1,1,not at all,1,1,extremely,1
12820,15:18:17,6,1004,5.0.14.0,1,4,consumption,VAS_refreshment_VAS,0,0,0,0,65,1,2689,1,How refreshing is the beer?,0,1,not at all,0,1,extremely,0
12920,14:24:31,1,2005,5.0.14.0,1,1,consumption,VAS_bitter_VAS,0,0,0,0,37,1,12709,1,How BITTER is the beer?,0,1,not at all,0,1,extremely,0
12920,14:24:31,1,2005,5.0.14.0,1,2,consumption,VAS_body_VAS,0,0,0,0,44,1,3051,1,How FULL-BODIED is the beer?,1,1,not at all,1,1,extremely,1
12920,14:24:31,1,2005,5.0.14.0,1,3,consumption,VAS_liking_VAS,0,0,0,0,87,1,7345,1,How much do you like the beer?,1,1,not at all,1,1,extremely,1
12920,14:24:31,1,2005,5.0.14.0,1,4,consumption,VAS_refreshment_VAS,0,0,0,0,85,1,3027,1,How refreshing is the beer?,1,1,not at all,1,1,extremely,1
12920,14:35:06,2,3006,5.0.14.0,1,1,consumption,VAS_liking_VAS,0,0,0,0,95,1,3762,1,How much do you like the beer?,0,1,not at all,0,1,extremely,0
12920,14:35:06,2,3006,5.0.14.0,1,2,consumption,VAS_bitter_VAS,0,0,0,0,35,1,4620,1,How BITTER is the beer?,0,1,not at all,0,1,extremely,0
12920,14:35:06,2,3006,5.0.14.0,1,3,consumption,VAS_refreshment_VAS,0,0,0,0,67,1,3744,1,How refreshing is the beer?,0,1,not at all,0,1,extremely,0
12920,14:35:06,2,3006,5.0.14.0,1,4,consumption,VAS_body_VAS,0,0,0,0,68,1,4884,1,How FULL-BODIED is the beer?,0,1,not at all,0,1,extremely,0
12920,14:55:13,3,1007,5.0.14.0,1,1,consumption,VAS_refreshment_VAS,0,0,0,0,93,1,7001,1,How refreshing is the beer?,0,1,not at all,0,1,extremely,0
12920,14:55:13,3,1007,5.0.14.0,1,2,consumption,VAS_bitter_VAS,0,0,0,0,10,1,9385,1,How BITTER is the beer?,0,1,not at all,0,1,extremely,0
12920,14:55:13,3,1007,5.0.14.0,1,3,consumption,VAS_liking_VAS,0,0,0,0,84,1,80715,1,How much do you like the beer?,1,1,not at all,1,1,extremely,1
12920,14:55:13,3,1007,5.0.14.0,1,4,consumption,VAS_body_VAS,0,0,0,0,54,1,9078,1,How FULL-BODIED is the beer?,1,1,not at all,1,1,extremely,1
