date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2,stimulusnumber3,stimulusitem3,stimulusonset3
12820,15:03:09,2,5001,5.0.14.0,1,1,mood,VAS_mood11_VAS,0,0,0,0,67,1,8161,1,How do you currently feel?,12,1,attentive,12,1,dreamy,12
12820,15:03:09,2,5001,5.0.14.0,1,2,mood,VAS_mood6_VAS,0,0,0,0,28,1,4185,1,How do you currently feel?,1,1,energetic,1,1,lethargic,1
12820,15:03:09,2,5001,5.0.14.0,1,3,mood,VAS_mood1_VAS,0,0,0,0,58,1,4789,1,How do you currently feel?,1,1,alert,1,1,drowsy,1
12820,15:03:09,2,5001,5.0.14.0,1,4,mood,VAS_mood9_VAS,0,0,0,0,58,1,5310,1,How do you currently feel?,1,1,quick-witted,1,1,mentally slow,1
12820,15:03:09,2,5001,5.0.14.0,1,5,mood,VAS_mood5_VAS,0,0,0,0,33,1,3925,1,How do you currently feel?,1,1,well-coordinated,1,1,clumsy,1
12820,15:03:09,2,5001,5.0.14.0,1,6,mood,VAS_mood4_VAS,0,0,0,0,61,1,4146,1,How do you currently feel?,1,1,clear-headed,1,1,muzzy,1
12820,15:03:09,2,5001,5.0.14.0,1,7,mood,VAS_mood7_VAS,0,0,0,0,1,1,4527,1,How do you currently feel?,1,1,contented,1,1,discontented,1
12820,15:03:09,2,5001,5.0.14.0,1,8,mood,VAS_mood13_VAS,0,0,0,0,9,1,5283,1,How do you currently feel?,1,1,happy,1,1,sad,1
12820,15:03:09,2,5001,5.0.14.0,1,9,mood,VAS_mood3_VAS,0,0,0,0,36,1,5031,1,How do you currently feel?,1,1,strong,1,1,feeble,1
12820,15:03:09,2,5001,5.0.14.0,1,10,mood,VAS_mood10_VAS,0,0,0,0,20,1,5592,1,How do you currently feel?,1,1,relaxed,1,1,tense,1
12820,15:03:09,2,5001,5.0.14.0,1,11,mood,VAS_mood15_VAS,0,0,0,0,1,1,3352,1,How do you currently feel?,3,1,interested,3,1,bored,3
12820,15:03:09,2,5001,5.0.14.0,1,12,mood,VAS_mood8_VAS,0,0,0,0,1,1,3883,1,How do you currently feel?,1,1,tranquil,1,1,troubled,1
12820,15:03:09,2,5001,5.0.14.0,1,13,mood,VAS_mood14_VAS,0,0,0,0,12,1,3630,1,How do you currently feel?,1,1,amicable,1,1,antagonistic,1
12820,15:03:09,2,5001,5.0.14.0,1,14,mood,VAS_mood2_VAS,0,0,0,0,39,1,5466,1,How do you currently feel?,1,1,calm,1,1,excited,1
12820,15:03:09,2,5001,5.0.14.0,1,15,mood,VAS_mood16_VAS,0,0,0,0,20,1,7199,1,How do you currently feel?,1,1,gregarious,1,1,withdrawn,1
12820,15:03:09,2,5001,5.0.14.0,1,16,mood,VAS_mood12_VAS,0,0,0,0,34,1,3719,1,How do you currently feel?,1,1,proficient,1,1,incompetent,1
