date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,trialduration,trialtimeout,response,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2,stimulusnumber3,stimulusitem3,stimulusonset3
12820,15:44:46,6,5001,5.0.14.0,1,1,consumption,VAS,0,0,0,0,36,1,9358,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12820,15:44:46,6,5001,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,4,1,12520,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
12820,15:57:42,1,5002,5.0.14.0,1,1,consumption,VAS_wtp,0,0,0,0,2,1,15283,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,0,1,£0,0,1,£5,0
12820,15:57:42,1,5002,5.0.14.0,1,2,consumption,VAS,0,0,0,0,34,1,3339,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12820,16:16:29,2,3003,5.0.14.0,1,1,consumption,VAS,0,0,0,0,76,1,21413,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12820,16:16:29,2,3003,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,3,1,11861,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
12820,16:40:26,3,1004,5.0.14.0,1,1,consumption,VAS,0,0,0,0,78,1,17743,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12820,16:40:26,3,1004,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,4,1,18242,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
12920,15:36:34,4,2005,5.0.14.0,1,1,consumption,VAS_wtp,0,0,0,0,3,1,15106,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
12920,15:36:34,4,2005,5.0.14.0,1,2,consumption,VAS,0,0,0,0,89,1,4632,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12920,15:56:41,5,3006,5.0.14.0,1,1,consumption,VAS,0,0,0,0,69,1,12724,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12920,15:56:41,5,3006,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,4,1,8124,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
12920,16:18:19,6,1007,5.0.14.0,1,1,consumption,VAS,0,0,0,0,54,1,9706,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
12920,16:18:19,6,1007,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,2,1,12490,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
13120,15:45:14,1,1008,5.0.14.0,1,1,consumption,VAS_wtp,0,0,0,0,3,1,19211,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
13120,15:45:14,1,1008,5.0.14.0,1,2,consumption,VAS,0,0,0,0,75,1,9049,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
13120,16:01:39,2,5009,5.0.14.0,1,1,consumption,VAS,0,0,0,0,63,1,7150,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
13120,16:01:39,2,5009,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,3,1,18499,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
13120,16:17:06,3,5010,5.0.14.0,1,1,consumption,VAS_wtp,0,0,0,0,3,1,30338,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
13120,16:17:06,3,5010,5.0.14.0,1,2,consumption,VAS,0,0,0,0,65,1,6621,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
20420,15:42:49,4,1011,5.0.14.0,1,1,consumption,VAS,0,0,0,0,73,1,9072,1,How satisfied are you expect to be with the product?,1,1,not at all,1,1,extremely,1
20420,15:42:49,4,1011,5.0.14.0,1,2,consumption,VAS_wtp,0,0,0,0,4,1,15204,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
20420,16:08:54,5,2012,5.0.14.0,1,1,consumption,VAS_wtp,0,0,0,0,2,1,13351,1,How much would you be willing to pay in a supermarket for a 330 ml bottle of the beer you drank?,1,1,£0,1,1,£5,1
20420,16:08:54,5,2012,5.0.14.0,1,2,consumption,VAS,0,0,0,0,22,1,18483,1,How satisfied are you expect to be with the product?,2,1,not at all,2,1,extremely,2
20420,16:19:27,1,2013,5.0.14.0,1,1,consumption,VAS,0,0,0,0,59,1,25343,1,How satisfied are you expect to be with the product?,0,1,not at all,0,1,extremely,0
