display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
75,12820,14:08:55,5001,3,697204,win,1,19pct,0.6,0.95,0.95,1,1,1,1,1,1,1,1,1,1
60,12820,14:22:37,5002,4,760066,win,1,26pct,0.65,0.9,0.85,0.7,0.95,1,1,0.95,1,0.95,1,0.95,1
75,12820,14:46:28,3003,5,699665,win,1,18pct,0.6,0.65,0.9,0.85,0.85,1,0.95,1,0.95,0.85,0.95,1,0.9
60,12820,15:00:34,1004,6,947444,win,1,22pct,0.4,0.5,0.65,0.5,0.75,0.85,0.9,0.85,0.85,1,0.9,1,0.95
60,12920,14:09:06,2005,1,631130,win,1,31pct,0.75,0.9,0.95,0.9,1,0.9,0.9,1,0.95,0.95,1,1,1
75,12920,14:22:48,3006,2,653600,win,1,26pct,0.75,0.95,0.85,0.95,1,1,1,1,1,0.95,1,0.95,1
60,12920,14:41:10,1007,3,732752,win,1,18pct,0.65,0.75,0.85,0.75,0.85,0.9,0.8,0.95,0.9,1,0.9,1,1
75,13120,14:09:43,1008,4,656612,win,1,19pct,0.8,0.95,0.9,0.95,0.95,1,0.95,0.95,0.95,1,1,1,0.95
60,13120,14:23:52,5009,5,745845,win,1,23pct,0.5,0.85,0.75,0.8,0.95,0.95,0.95,1,1,0.95,0.95,1,0.95
75,13120,14:46:54,5010,6,815040,win,1,19pct,0.45,0.55,0.75,0.95,0.95,1,0.95,1,1,0.95,1,0.95,1
60,20420,14:10:52,1011,1,670306,win,1,18pct,0.65,0.9,0.95,0.95,1,1,1,1,1,1,1,0.95,1
75,20420,14:29:22,2012,2,849133,win,1,26pct,0.7,0.85,0.8,0.9,0.8,1,1,0.9,1,1,0.95,0.95,0.95
60,20420,14:40:28,2013,3,734183,win,1,18pct,0.75,1,0.95,1,0.95,1,1,1,1,1,1,1,1
75,20420,15:08:13,2014,4,746178,win,1,19pct,0.4,0.75,0.65,0.95,0.8,1,0.95,1,0.95,1,0.9,1,1
60,20520,14:00:51,6015,5,687487,win,1,18pct,0.65,0.95,1,1,1,1,1,1,1,1,1,1,1
75,20520,14:32:10,6016,6,718787,win,1,19pct,0.35,0.8,0.85,0.85,0.85,0.95,1,0.95,0.95,1,1,1,1
60,20720,14:06:23,5017,2,831103,win,1,19pct,0.65,1,0.9,0.9,0.95,0.95,1,1,0.95,1,0.8,1,1
75,20720,14:29:07,3018,3,647771,win,1,19pct,0.7,0.9,0.95,1,1,1,1,1,1,1,1,1,1
60,20720,14:46:33,5019,4,664899,win,1,18pct,0.5,0.9,0.9,0.95,1,1,1,1,1,0.95,0.95,0.95,0.95
75,21220,14:06:29,4020,5,657986,win,1,19pct,0.55,0.7,1,1,0.9,1,1,1,1,1,1,1,1
60,21220,14:13:08,4021,6,720429,win,1,18pct,0.75,0.85,0.9,0.85,1,1,0.95,0.95,0.9,1,1,0.95,0.95
75,21220,14:46:52,5022,1,905671,win,1,19pct,0.7,0.6,0.75,0.85,0.85,0.95,0.95,1,1,1,1,1,1
60,21420,14:04:48,6023,2,696998,win,1,25pct,0.5,0.75,0.8,0.75,0.95,0.9,1,1,0.9,1,1,1,1
75,21420,14:29:08,2024,3,781809,win,1,19pct,0.55,0.95,0.95,1,1,1,1,0.95,1,1,1,1,1
60,21420,15:00:57,1025,4,666589,win,1,18pct,0.6,0.9,0.75,0.75,1,1,1,0.95,1,1,0.95,1,1
75,21920,14:07:50,1026,5,662004,win,1,19pct,0.8,1,1,1,1,1,1,1,1,1,1,1,1
60,21920,14:32:37,1027,6,727726,win,1,18pct,0.8,0.95,0.95,0.95,0.95,0.95,0.9,1,1,0.95,1,0.9,0.95
75,22120,14:09:55,1028,1,746787,win,1,19pct,0.4,0.8,0.7,0.95,0.8,0.9,0.6,0.85,1,0.95,1,1,0.95
60,22120,14:24:44,2029,2,706788,win,1,18pct,0.7,0.85,0.85,0.9,0.95,1,0.9,1,0.9,0.95,0.95,0.9,0.9
75,22420,14:41:58,5030,3,764793,win,1,19pct,0.7,0.9,0.8,1,1,1,1,1,1,1,1,1,1
75,22620,14:22:50,4031,4,960584,win,1,19pct,0.6,0.85,0.7,0.7,0.6,0.85,0.95,0.95,1,1,1,1,1
60,22620,14:44:31,6032,5,615350,win,1,17pct,0.7,0.9,0.95,1,1,0.85,1,0.95,1,1,0.95,1,1
75,22820,14:10:23,3033,6,744484,win,1,26pct,0.7,1,0.85,0.95,0.9,1,1,1,1,1,1,0.95,1
