"values.satisE","values.bitterE","values.bodyE","values.likingE","values.refreshmentE","values.factor1E","values.factor2E","values.factor3E"
"39","66","28","40","59","43","0","0"
"78","30","68","84","82","13","0","0"
"70","25","57","79","84","41","0","0"
"55","30","41","58","67","19","0","0"
"76","61","43","78","79","26","0","0"
"64","90","88","45","58","56","0","0"
"52","71","20","52","3","68","0","0"
"63","64","44","60","74","33","0","0"
"45","61","34","47","56","43","0","0"
"44","39","71","15","66","53","0","0"
"68","61","36","67","70","59","0","0"
"60","46","39","61","62","60","0","0"
"60","41","28","67","83","45","0","0"
"41","56","35","77","58","47","0","0"
"64","62","36","68","84","63","0","0"
"64","63","55","43","64","69","0","0"
"30","30","22","52","57","52","0","0"
"61","63","59","59","68","20","0","0"
"77","36","75","82","94","11","0","0"
"58","56","57","56","62","61","0","0"
"23","38","37","33","50","67","0","0"
"33","77","73","24","70","38","0","0"
"57","44","42","52","67","43","0","0"
"57","59","45","45","65","58","0","0"
"65","57","22","80","72","44","0","0"
"67","46","58","64","66","27","0","0"
"79","44","64","93","100","58","0","0"
"62","68","44","59","58","42","0","0"
"38","34","47","43","57","67","0","0"
"40","58","38","64","92","12","0","0"
"36","60","29","42","61","42","0","0"
"59","43","62","63","65","48","0","0"
"66","64","64","44","73","43","0","0"
"42","41","28","57","60","36","0","0"
"68","39","41","66","60","23","0","0"
"74","71","20","42","66","32","0","0"
"38","79","22","74","80","27","0","0"
"55","54","49","55","62","47","0","0"
"41","60","61","36","32","19","0","0"
"56","59","61","44","64","37","0","0"
"63","53","59","63","67","32","0","0"
"66","60","45","60","61","72","0","0"
"40","67","41","70","57","85","0","0"
"42","45","30","54","56","60","0","0"
"71","62","41","71","81","48","0","0"
"71","48","64","70","75","28","0","0"
"70","26","43","59","71","43","0","0"
"64","37","38","59","70","41","0","0"
"49","28","60","61","87","14","0","0"
"66","19","62","77","92","18","0","0"
"58","60","56","65","91","41","0","0"
"42","35","40","59","61","57","0","0"
"44","77","58","61","62","22","0","0"
"56","61","21","62","78","59","0","0"
"71","35","60","80","100","1","0","0"
"46","38","25","55","55","31","0","0"
"52","52","52","52","52","52","0","0"
"39","67","41","35","63","43","0","0"
"59","67","62","61","63","45","0","0"
"64","59","71","68","69","45","0","0"
"29","65","37","42","57","43","0","0"
"45","59","42","44","59","43","0","0"
"64","67","71","63","71","30","0","0"
"1","77","1","1","61","69","0","0"
"31","30","54","55","31","46","0","0"
"79","70","87","80","66","10","0","0"
"58","19","42","57","56","71","0","0"
"54","71","64","57","59","44","0","0"
"55","34","40","47","84","45","0","0"
"63","59","39","70","59","43","0","0"
"25","81","12","21","72","8","0","0"
"71","65","62","38","75","1","0","0"
"41","52","1","1","77","1","0","0"
"72","57","57","70","90","36","0","0"
