"values.bitter","values.body","values.liking","values.refreshment"
"77","41","41","68"
"22","30","32","26"
"13","42","88","88"
"21","58","62","65"
"37","44","87","85"
"35","68","95","67"
"10","54","84","93"
"18","59","75","86"
"40","32","57","59"
"1","31","70","64"
"52","24","76","74"
"39","1","58","79"
"1","6","82","100"
"62","62","73","74"
"25","1","63","72"
"40","67","80","79"
"34","37","79","80"
"66","59","54","66"
"52","80","90","90"
"55","59","73","78"
"26","30","20","24"
"60","35","60","69"
"24","14","45","67"
"16","82","88","75"
"3","20","79","79"
"1","29","59","64"
"23","15","75","74"
"76","27","59","68"
"18","61","92","100"
"31","73","96","99"
"28","17","40","67"
"57","44","71","57"
"33","40","74","66"
"1","2","59","74"
"36","62","66","58"
"38","36","33","48"
"16","6","61","82"
"58","54","54","85"
"1","60","65","72"
"30","42","45","62"
"56","59","60","66"
"48","37","32","59"
"18","67","20","20"
"42","56","59","65"
"8","29","71","82"
"65","27","32","63"
"4","25","51","59"
"25","48","64","71"
"14","56","81","88"
"80","59","61","65"
"21","66","74","89"
"10","17","60","63"
"31","57","65","64"
"78","24","82","81"
"1","30","85","100"
"49","46","40","54"
"52","52","52","52"
"55","58","57","53"
"22","64","80","78"
"28","43","72","29"
"6","38","73","81"
"57","38","75","80"
"66","56","38","58"
"39","59","60","64"
"33","60","59","63"
"22","21","38","65"
"22","39","32","55"
"1","25","56","57"
"30","43","61","65"
"68","65","63","70"
"26","75","80","68"
"74","37","42","73"
"1","1","26","70"
"33","70","71","81"
"22","66","74","75"
"48","36","49","46"
"37","74","89","76"
"60","22","43","87"
"16","1","68","63"
"61","32","66","69"
"35","36","61","62"
"1","14","95","95"
"9","8","80","83"
"38","31","28","75"
"63","42","37","54"
"37","73","77","87"
"27","60","76","76"
"1","17","69","71"
"28","65","65","66"
"1","27","72","88"
"5","25","73","82"
"75","70","35","81"
"33","42","63","62"
"10","14","69","68"
"26","13","78","96"
"46","47","54","60"
"37","67","66","39"
"66","34","65","68"
"65","79","70","65"
"22","68","84","70"
"36","23","70","66"
"76","42","35","54"
"46","48","53","55"
"9","37","62","79"
"66","3","27","37"
"18","58","72","77"
"36","32","64","82"
"1","29","73","88"
"24","18","18","70"
"53","44","55","70"
"23","57","90","64"
"15","22","36","59"
"52","54","57","62"
"55","51","89","78"
"43","56","59","72"
"54","47","54","59"
"63","64","83","94"
"17","26","77","32"
"34","47","57","55"
"60","47","66","61"
"73","31","25","62"
"14","33","78","74"
"34","43","59","65"
"36","37","44","56"
"54","44","61","73"
"32","40","71","61"
"26","24","45","44"
"18","73","29","60"
"24","74","64","44"
"57","83","78","69"
"54","54","72","63"
"62","24","32","15"
"27","28","74","81"
"25","62","28","41"
"61","30","61","61"
"60","65","63","76"
"56","45","44","53"
"27","65","63","65"
"4","10","68","81"
"13","6","75","68"
"5","43","61","76"
"40","42","59","48"
"38","33","78","83"
"1","1","86","95"
"19","20","60","84"
"36","36","57","67"
"12","23","94","80"
"58","31","46","67"
"33","31","64","66"
"7","29","77","74"
"1","40","57","80"
"24","35","40","60"
"9","95","70","67"
"25","42","35","44"
"30","29","92","90"
"39","23","37","61"
"62","33","65","58"
"63","23","86","74"
"59","28","24","65"
"72","59","67","60"
"3","11","86","100"
"36","30","77","71"
"49","27","62","61"
"14","25","57","92"
"44","74","81","75"
"5","45","57","68"
"46","57","56","59"
"13","19","61","53"
"41","28","63","79"
"40","56","77","86"
"21","73","81","85"
"33","34","77","68"
"42","64","48","57"
"43","43","26","60"
"14","24","54","54"
"59","35","62","66"
"46","54","65","64"
"79","30","75","81"
"57","44","72","64"
"48","50","52","54"
"57","48","37","35"
"32","47","53","62"
"27","75","77","77"
"9","64","71","60"
"33","33","72","76"
"70","72","57","69"
"23","33","71","77"
"31","16","73","40"
"18","50","64","62"
"23","65","37","59"
"88","59","9","23"
