"values.mood1","values.mood2","values.mood3","values.mood4","values.mood5","values.mood6","values.mood7","values.mood8","values.mood9","values.mood10","values.mood11","values.mood12","values.mood13","values.mood14","values.mood15","values.mood16"
"58","39","36","61","33","28","1","1","58","20","67","34","9","12","1","20"
"58","32","25","58","42","59","41","30","56","20","43","38","30","27","61","61"
"70","33","20","36","32","68","25","20","32","32","61","32","18","22","72","18"
"61","7","14","44","13","41","11","11","19","5","23","15","2","16","35","24"
"24","30","41","14","23","31","36","40","28","43","14","16","27","20","30","29"
"54","14","48","28","49","54","1","1","35","6","74","31","34","1","80","32"
"24","12","6","53","54","48","18","11","54","11","58","6","10","15","20","21"
"69","58","32","58","58","62","23","35","64","37","60","53","21","24","42","23"
"56","37","58","57","53","57","42","35","56","40","60","44","39","41","41","44"
"42","23","71","44","34","60","54","54","33","52","46","47","53","50","100","48"
"28","39","37","59","62","30","18","18","29","19","40","25","16","18","21","9"
"57","45","53","53","41","56","47","42","55","46","41","41","38","38","67","53"
"63","20","40","28","55","74","1","22","61","1","62","32","15","23","30","72"
"55","37","56","55","53","54","40","43","50","45","52","52","47","38","45","49"
"60","29","45","61","49","64","18","17","41","23","60","43","27","27","31","66"
"63","28","47","56","58","67","20","27","59","22","59","36","37","34","57","47"
"50","36","43","53","52","59","33","41","53","44","36","43","50","25","69","36"
"59","20","62","64","67","47","42","32","74","23","72","53","55","33","59","62"
"62","9","42","53","61","56","21","9","60","15","57","22","16","12","8","13"
"61","42","55","63","29","78","21","55","57","23","61","39","39","45","60","63"
"46","26","29","47","32","52","46","41","46","50","45","31","39","31","45","49"
"63","20","65","60","35","51","34","31","73","24","66","22","37","7","70","62"
"47","37","48","46","46","55","48","47","48","45","47","46","47","47","56","48"
"61","39","43","60","60","39","39","39","45","37","43","41","24","37","15","42"
"54","8","57","56","43","62","48","10","45","27","45","29","50","9","14","28"
"53","31","58","53","43","55","47","15","48","31","34","39","19","32","33","41"
"68","1","15","16","17","74","1","1","68","1","72","14","1","1","23","18"
"74","36","77","73","77","78","70","55","79","64","83","73","66","64","65","58"
"70","40","30","60","42","75","62","34","59","39","61","58","40","38","80","60"
"75","12","42","74","67","86","22","17","71","6","71","58","18","15","19","30"
"38","33","23","33","40","36","32","60","38","40","27","37","29","13","32","55"
"55","42","57","57","53","56","57","41","49","42","45","46","39","46","53","53"
"60","38","61","57","47","67","34","28","62","42","67","40","40","58","39","44"
"55","35","29","18","12","40","19","26","37","28","44","21","32","35","46","37"
"84","4","85","94","84","90","82","9","95","9","79","82","42","32","74","82"
"62","32","24","30","60","34","29","23","60","28","70","27","16","33","67","22"
"67","31","57","57","57","71","36","45","62","35","55","53","44","45","58","47"
"23","28","28","11","1","18","25","21","20","19","1","11","17","15","43","41"
