"values.satisfaction","values.wtp"
"36","36"
"34",""
"76","76"
"78","78"
"89",""
"69","69"
"54","54"
"75",""
"63","63"
"65",""
"73","73"
"22",""
"59","59"
"64",""
"23","23"
"64","64"
"58","58"
"74",""
"76","76"
"69",""
"47","47"
"76","76"
"37",""
"79","79"
"70","70"
"40",""
"73",""
"56",""
"60",""
"86",""
"56","56"
"63",""
"68","68"
"57","57"
"76",""
"26",""
"59",""
"2",""
"56",""
"62","62"
"56","56"
"44","44"
"41",""
"36",""
"69","69"
"41",""
"58","58"
"57","57"
"66",""
"88","88"
"55","55"
"65","65"
"64","64"
"87","87"
"44","44"
"70","70"
"75","75"
"68",""
"63",""
"59","59"
"61",""
"24",""
"56",""
"36",""
"52",""
"55",""
"34","34"
"54",""
"75",""
"32",""
"57",""
"54","54"
"78",""
"48","48"
"51","51"
"76","76"
"60",""
"64","64"
"56","56"
"69","69"
"69",""
"95",""
"78","78"
"43",""
"37","37"
"73",""
"60",""
"59",""
"29",""
"72",""
"72","72"
"21","21"
"50",""
"75",""
"72","72"
"61",""
"59","59"
"58","58"
"36",""
"71","71"
"59",""
"23",""
"47","47"
"59",""
"25","25"
"75",""
"40","40"
"67",""
"2",""
"60","60"
"81","81"
"46",""
"28","28"
"94","94"
"63","63"
"63",""
"100",""
"29",""
"40",""
"61",""
"35","35"
"49",""
"77",""
"65",""
"85",""
"63",""
"36","36"
"21","21"
"67","67"
"72","72"
"32","32"
"73","73"
"66",""
"25",""
"56","56"
"61","61"
"47",""
"68",""
"75",""
"70","70"
"51",""
"82",""
"82","82"
"93",""
"69","69"
"70",""
"90","90"
"27",""
"66",""
"83",""
"38",""
"6",""
"75","75"
"31",""
"29",""
"85",""
"29",""
"77","77"
"58","58"
"41",""
"80",""
"62",""
"45",""
"59",""
"76","76"
"35",""
"64","64"
"68",""
"61",""
"39","39"
"92","92"
"78",""
"29",""
"23",""
"39",""
"45",""
"75","75"
"35",""
"59","59"
"48",""
"58",""
"26","26"
"72",""
"48",""
"68","68"
"60",""
"39",""
"63","63"
"42","42"
"25","25"
"11",""
